# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3.6-35B-A3B-UD-Q4_K_S.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=6 n_ctx=4096 n_ubatch=0 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=547 force_cache=0 load_all=0 io_threads=8 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,128,151.047,287.127,92.082,163762176,7.13,48.733,10.232,0,744.795,-1.000,0,0.00,4000.0,19958.5,6828.2,13130.4,0.0,33220.5,11616.1,20479.5,0.249,1,0.000,0.005,0.000,0.000,0.000
2,128,146.897,265.012,91.197,155123712,13.10,46.241,9.458,0,731.954,-1.000,0,0.00,4000.0,19958.6,6828.2,13130.4,0.0,33138.8,11534.4,20479.5,0.387,1,0.000,0.006,0.000,0.000,0.000
3,128,163.292,357.079,93.216,205283328,17.36,57.407,12.670,0,802.731,1.000,0,0.00,4000.0,19959.1,6828.7,13130.4,0.0,33119.6,11515.2,20479.5,0.365,1,0.000,0.005,0.000,0.000,0.000
4,128,144.201,229.082,96.436,133201920,21.92,38.879,8.886,0,745.654,1.000,0,0.00,4000.0,19958.6,6828.2,13130.4,0.0,33104.1,11499.7,20479.5,0.406,1,0.000,0.007,0.000,0.000,0.000
5,128,131.520,170.443,94.374,100589568,26.23,30.730,6.417,0,682.701,1.000,0,0.00,4000.0,19959.5,6829.1,13130.4,0.0,33099.7,11495.3,20479.5,0.361,1,0.000,0.006,0.000,0.000,0.000
6,128,128.557,173.187,91.455,97566720,30.02,30.088,7.014,0,672.964,1.000,0,0.00,4000.0,19958.4,6828.5,13129.9,0.0,33104.2,11500.2,20479.5,0.365,1,0.000,0.006,0.000,0.000,0.000
7,128,152.646,287.895,93.601,165003264,32.59,49.015,10.030,0,758.824,1.000,0,0.00,4000.0,19957.5,6827.7,13129.9,0.0,33061.6,11457.6,20479.5,0.359,1,0.000,0.005,0.000,0.000,0.000
8,128,136.629,179.948,92.707,107556864,35.46,36.708,7.214,0,688.779,1.000,0,0.00,4000.0,19957.9,6828.5,13129.4,0.0,33060.8,11457.4,20479.5,0.362,1,0.000,0.005,0.000,0.000,0.000
9,128,125.628,124.115,92.577,80019456,38.28,27.122,5.929,0,653.288,1.000,0,0.00,4000.0,19957.8,6828.4,13129.4,0.0,33063.6,11460.2,20479.5,0.379,1,0.000,0.005,0.000,0.000,0.000
10,128,132.556,170.889,92.469,100048896,40.60,32.908,7.179,0,676.410,1.000,0,0.00,4000.0,19957.6,6828.7,13128.9,0.0,33113.1,11510.1,20479.5,0.366,1,0.000,0.005,0.000,0.000,0.000
11,128,140.203,214.296,91.322,127156224,42.47,39.778,9.104,0,706.352,1.000,0,0.00,4000.0,19957.1,6829.3,13127.9,0.0,33167.6,11565.7,20479.5,0.375,1,0.000,0.006,0.000,0.000,0.000
12,128,152.423,305.282,91.706,169648128,43.81,49.762,10.955,0,757.477,1.000,0,0.00,4000.0,19956.0,6828.2,13127.9,0.0,33163.1,11561.1,20479.5,0.364,1,0.000,0.005,0.000,0.000,0.000
13,128,137.660,193.591,93.627,116084736,45.44,36.667,7.366,0,704.498,1.000,0,0.00,4000.0,19956.2,6828.4,13127.9,0.0,33154.0,11552.0,20479.5,0.370,1,0.000,0.005,0.000,0.000,0.000
14,128,134.307,144.468,95.296,89628672,47.13,32.918,6.093,0,687.266,1.000,0,0.00,4000.0,19956.9,6829.0,13127.9,0.0,33148.9,11547.0,20479.5,0.371,1,0.000,0.006,0.000,0.000,0.000
15,128,116.149,70.217,94.482,48377856,48.97,17.775,3.893,0,631.759,1.000,0,0.00,4000.0,19957.0,6829.1,13127.9,0.0,33145.5,11543.6,20479.5,0.365,1,0.000,0.006,0.000,0.000,0.000
16,128,121.578,131.732,90.868,78508032,50.47,25.510,5.200,0,644.040,1.000,0,0.00,4000.0,19956.5,6829.1,13127.4,0.0,33136.6,11535.2,20479.5,0.351,1,0.000,0.006,0.000,0.000,0.000
17,128,135.876,190.146,91.101,114573312,51.61,37.592,7.182,0,683.660,1.000,0,0.00,4000.0,19955.3,6828.0,13127.4,0.0,33098.7,11497.3,20479.5,0.358,1,0.000,0.005,0.000,0.000,0.000
18,128,142.077,240.815,91.420,141029376,52.48,41.687,8.970,0,717.450,1.000,0,0.00,4000.0,19955.6,6828.2,13127.4,0.0,33067.3,11465.8,20479.5,0.357,1,0.000,0.006,0.000,0.000,0.000
19,128,131.739,186.787,90.977,110739456,53.49,33.141,7.621,0,683.469,1.000,0,0.00,4000.0,19955.9,6828.5,13127.4,0.0,33037.0,11435.5,20479.5,0.390,1,0.000,0.005,0.000,0.000,0.000
20,128,127.776,118.010,93.142,76886016,54.63,29.116,5.518,0,673.737,1.000,0,0.00,4000.0,19955.9,6828.6,13127.4,0.0,33086.5,11485.0,20479.5,0.363,1,0.000,0.005,0.000,0.000,0.000
21,128,126.846,131.788,92.457,81260544,55.67,28.931,5.458,0,654.954,1.000,0,0.00,4000.0,19955.3,6828.0,13127.4,0.0,33086.0,11484.6,20479.5,0.365,1,0.000,0.005,0.000,0.000,0.000
22,128,123.741,113.047,92.322,74133504,56.68,26.139,5.280,0,649.875,1.000,0,0.00,4000.0,19956.5,6829.1,13127.4,0.0,33062.6,11461.2,20479.5,0.375,1,0.000,0.004,0.000,0.000,0.000
23,128,117.306,88.572,92.848,56586240,57.73,20.787,3.670,0,629.567,1.000,0,0.00,4000.0,19955.9,6828.6,13127.4,0.0,33047.4,11445.9,20479.5,0.370,1,0.000,0.005,0.000,0.000,0.000
24,128,153.724,294.826,92.167,165003264,58.14,51.589,9.968,0,750.904,1.000,0,0.00,4000.0,19956.1,6828.7,13127.4,0.0,32981.4,11380.0,20479.5,0.361,1,0.000,0.006,0.000,0.000,0.000
25,128,132.249,162.335,90.106,101130240,58.86,34.861,7.282,0,666.110,1.000,0,0.00,4000.0,19955.9,6829.0,13126.9,0.0,32979.7,11378.7,20479.5,0.360,1,0.000,0.006,0.000,0.000,0.000
26,128,127.880,140.361,91.340,88387584,59.60,30.878,5.661,0,655.055,1.000,0,0.00,4000.0,19955.9,6829.0,13126.9,0.0,32972.2,11371.3,20479.5,0.376,1,0.000,0.006,0.000,0.000,0.000
