# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3.6-35B-A3B-UD-Q4_K_S.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=6 n_ctx=4096 n_ubatch=0 chatml=1
# moe_stream=1 cache_mb=2000 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=2000 cache_cycle_mb=547 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,128,243.724,408.412,86.717,418553856,2.68,134.801,22.207,0,1001.059,-1.000,0,0.00,2000.0,14385.8,4824.8,9561.0,0.0,34846.2,16814.9,20479.5,0.250,1,0.000,0.006,0.000,0.000,0.000
2,128,180.520,246.074,88.624,238866432,7.72,78.817,13.079,0,815.803,-1.000,0,0.00,2000.0,14386.0,4825.0,9561.0,0.0,34743.0,16711.6,20479.5,0.436,1,0.000,0.006,0.000,0.000,0.000
3,128,247.217,417.166,85.564,419094528,9.31,136.926,24.726,0,1026.760,1.000,0,0.00,2000.0,14386.4,4825.4,9561.0,0.0,34684.7,16653.3,20479.5,0.364,1,0.000,0.006,0.000,0.000,0.000
4,128,196.819,276.794,92.593,259547136,12.82,90.036,14.190,0,869.249,1.000,0,0.00,2000.0,14386.4,4825.4,9561.0,0.0,34612.3,16580.9,20479.5,0.403,1,0.000,0.006,0.000,0.000,0.000
5,128,153.915,158.359,92.167,149237760,17.18,52.450,9.298,0,743.440,1.000,0,0.00,2000.0,14385.8,4824.8,9561.0,0.0,34559.2,16527.9,20479.5,0.362,1,0.000,0.170,0.000,0.000,0.000
6,128,157.587,173.502,90.126,165814272,20.77,57.285,10.176,0,746.491,1.000,0,0.00,2000.0,14385.5,4825.5,9560.0,0.0,34527.3,16497.0,20479.5,0.360,1,0.000,0.005,0.000,0.000,0.000
7,128,174.114,197.992,94.594,188706816,23.67,68.082,11.438,0,819.559,1.000,0,0.00,2000.0,14385.8,4825.8,9560.0,0.0,34534.6,16504.2,20479.5,0.355,1,0.000,0.007,0.000,0.000,0.000
8,128,153.031,155.270,94.002,149348352,26.64,49.542,9.487,0,751.367,1.000,0,0.00,2000.0,14385.5,4825.5,9560.0,0.0,34538.1,16507.7,20479.5,0.366,1,0.000,0.006,0.000,0.000,0.000
9,128,139.992,110.052,96.658,104263680,29.72,34.610,8.724,0,724.425,1.000,0,0.00,2000.0,14385.1,4825.1,9560.0,0.0,34515.2,16484.8,20479.5,0.398,1,0.000,0.007,0.000,0.000,0.000
10,128,156.731,169.332,92.034,160739328,31.95,54.571,10.126,0,742.932,1.000,0,0.00,2000.0,14385.6,4825.5,9560.0,0.0,34526.8,16496.4,20479.5,0.391,1,0.000,0.006,0.000,0.000,0.000
11,128,159.869,184.118,90.260,174833664,33.85,59.705,9.903,0,752.518,1.000,0,0.00,2000.0,14384.8,4824.7,9560.0,0.0,34529.2,16498.8,20479.5,0.361,1,0.000,0.006,0.000,0.000,0.000
12,128,202.535,302.381,88.698,291999744,34.60,96.992,16.845,0,880.927,1.000,0,0.00,2000.0,14385.2,4825.2,9560.0,0.0,34513.7,16483.3,20479.5,0.374,1,0.000,0.006,0.000,0.000,0.000
13,128,162.876,193.446,89.799,183631872,36.12,62.793,10.284,0,758.927,1.000,0,0.00,2000.0,14383.9,4824.8,9559.0,0.0,34476.8,16447.4,20479.5,0.357,1,0.000,0.005,0.000,0.000,0.000
14,128,160.776,183.188,91.341,169648128,37.62,59.241,10.194,0,758.445,1.000,0,0.00,2000.0,14383.1,4824.1,9559.0,0.0,34455.4,16426.0,20479.5,0.371,1,0.000,0.006,0.000,0.000,0.000
15,128,121.827,77.071,89.044,71540736,39.69,27.859,4.925,0,626.218,1.000,0,0.00,2000.0,14384.7,4825.6,9559.0,0.0,34443.6,16414.1,20479.5,0.355,1,0.000,0.005,0.000,0.000,0.000
16,128,135.741,125.288,88.247,113983488,41.33,40.139,7.355,0,669.803,1.000,0,0.00,2000.0,14383.2,4824.1,9559.0,0.0,34453.2,16423.8,20479.5,0.362,1,0.000,0.006,0.000,0.000,0.000
17,128,180.711,160.821,112.121,148426752,42.58,58.631,9.959,0,843.014,1.000,0,0.00,2000.0,14383.7,4825.6,9558.0,0.0,34534.1,16505.7,20479.5,0.377,1,0.000,0.005,0.000,0.000,0.000
18,128,170.860,212.855,90.829,199127040,43.43,68.025,12.006,0,790.549,1.000,0,0.00,2000.0,14383.0,4825.0,9558.0,0.0,34538.7,16510.2,20479.5,0.367,1,0.000,0.005,0.000,0.000,0.000
19,128,159.582,182.721,88.757,170618880,44.38,59.354,11.471,0,748.415,1.000,0,0.00,2000.0,14382.2,4824.1,9558.0,0.0,34640.2,16611.8,20479.5,0.526,1,0.000,0.006,0.000,0.000,0.000
20,128,134.275,116.468,89.110,105394176,45.66,38.581,6.584,0,660.234,1.000,0,0.00,2000.0,14382.6,4824.6,9558.0,0.0,34652.9,16624.5,20479.5,0.353,1,0.000,0.005,0.000,0.000,0.000
21,128,155.873,168.843,92.357,152911872,46.60,54.096,9.420,0,738.794,1.000,0,0.00,2000.0,14383.1,4825.1,9558.0,0.0,34644.8,16616.4,20479.5,0.357,1,0.000,0.006,0.000,0.000,0.000
22,128,144.333,143.186,89.546,131801088,47.59,46.377,8.410,0,696.777,1.000,0,0.00,2000.0,14382.4,4824.3,9558.0,0.0,34629.5,16601.1,20479.5,0.379,1,0.000,0.006,0.000,0.000,0.000
