# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3.6-35B-A3B-UD-Q4_K_S.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=6 n_ctx=4096 n_ubatch=0 chatml=1
# moe_stream=1 cache_mb=3000 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=3000 cache_cycle_mb=547 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,128,211.996,307.899,90.013,306302976,4.64,103.085,18.898,0,917.215,-1.000,0,0.00,3000.0,17672.8,5825.4,11847.4,0.0,34363.4,14042.5,20479.5,0.252,1,0.000,0.006,0.000,0.000,0.000
2,128,168.011,201.225,90.344,194322432,10.22,65.284,12.383,0,787.042,-1.000,0,0.00,3000.0,17673.1,5825.7,11847.4,0.0,34407.8,14086.9,20479.5,0.379,1,0.000,0.006,0.000,0.000,0.000
3,128,218.281,337.332,89.809,330006528,12.90,109.974,18.497,0,927.785,1.000,0,0.00,3000.0,17672.0,5824.6,11847.4,0.0,34281.9,13961.0,20479.5,0.375,1,0.000,0.006,0.000,0.000,0.000
4,128,171.257,209.329,93.121,190218240,17.03,67.125,11.011,0,794.725,1.000,0,0.00,3000.0,17673.2,5825.9,11847.4,0.0,34262.4,13941.5,20479.5,0.362,1,0.000,0.007,0.000,0.000,0.000
5,128,142.596,128.451,92.783,120188928,21.45,42.518,7.295,0,706.276,1.000,0,0.00,3000.0,17671.8,5825.1,11846.6,0.0,34266.1,13945.9,20479.5,0.361,1,0.000,0.006,0.000,0.000,0.000
6,128,147.238,145.331,91.525,131420160,25.16,46.271,9.442,0,716.345,1.000,0,0.00,3000.0,17671.3,5824.7,11846.6,0.0,34322.5,14002.4,20479.5,0.358,1,0.000,0.007,0.000,0.000,0.000
7,128,165.784,197.710,89.412,181039104,27.85,65.049,11.322,0,757.375,1.000,0,0.00,3000.0,17672.3,5825.7,11846.6,0.0,34418.3,14098.2,20479.5,0.369,1,0.000,0.006,0.000,0.000,0.000
8,128,146.930,144.318,91.706,134283264,30.73,47.289,7.935,0,712.427,1.000,0,0.00,3000.0,17670.5,5824.6,11845.9,0.0,34347.2,14027.8,20479.5,0.378,1,0.000,0.007,0.000,0.000,0.000
9,128,132.079,99.049,92.104,94273536,33.67,33.055,6.920,0,675.134,1.000,0,0.00,3000.0,17670.3,5824.4,11845.9,0.0,34386.4,14067.0,20479.5,0.359,1,0.000,0.006,0.000,0.000,0.000
10,128,140.566,121.306,92.635,114302976,36.10,40.582,7.349,0,704.941,1.000,0,0.00,3000.0,17670.5,5824.6,11845.9,0.0,34352.0,14032.6,20479.5,0.350,1,0.000,0.007,0.000,0.000,0.000
11,128,152.618,167.278,89.772,154423296,37.96,54.260,8.586,0,722.398,1.000,0,0.00,3000.0,17670.4,5824.6,11845.9,0.0,34253.8,13934.4,20479.5,0.362,1,0.000,0.006,0.000,0.000,0.000
12,128,166.934,199.393,91.454,188006400,39.37,64.039,11.440,0,781.331,1.000,0,0.00,3000.0,17671.6,5825.7,11845.9,0.0,34177.9,13858.5,20479.5,0.355,1,0.000,0.006,0.000,0.000,0.000
13,128,141.612,126.599,91.168,119648256,41.17,43.659,6.785,0,686.316,1.000,0,0.00,3000.0,17670.7,5825.5,11845.1,0.0,34117.7,13799.1,20479.5,0.375,1,0.000,0.006,0.000,0.000,0.000
14,128,166.982,115.194,117.041,104423424,42.93,43.262,6.679,0,809.587,1.000,0,0.00,3000.0,17670.5,5825.3,11845.1,0.0,34087.9,13769.3,20479.5,0.368,1,0.000,0.007,0.000,0.000,0.000
